COLEGIO NAC. SAGRADO CORAZON DE JESUS,1,3,15,1,HORQUETA,CONCEPCION,COLONIA HERNANDARIAS,215665
COLEGIO NAC. SAGRADO CORAZON DE JESUS,1,3,15,2,HORQUETA,CONCEPCION,COLONIA HERNANDARIAS-JHUGUA GUAZU,172532
ESC. BAS. Nº 11433,1,3,16,1,HORQUETA,CONCEPCION,CERRO MEMBY,20000
ESC. BAS. Nº 1669 GRAL. FRANCISCO CABALLERO,1,3,17,1,HORQUETA,CONCEPCION,VY A PAVE,15000
ESC. BAS. Nº 2454 BEATO ROQUE GONZALEZ,1,3,18,1,HORQUETA,CONCEPCION,HORQUETA,10000
ESC. BAS. Nº 2666,1,3,19,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,50000
ESC. BAS. Nº 2069,1,3,20,1,HORQUETA,CONCEPCION,COLONIA EMILIO ROMERO PEREIRA,19048
ESC. BAS. Nº 4333,1,3,21,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,10000
ESC. BAS. Nº 2457,1,3,22,1,HORQUETA,CONCEPCION,CUERO FRESCO,9781
LICEO NACIONAL PROF. JORGE S. MIRANDA,1,3,23,1,HORQUETA,CONCEPCION,HORQUETA,7499
ESC. BAS. Nº 4332,1,3,24,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,10000
ESC. BAS. Nº 1974,1,3,25,1,HORQUETA,CONCEPCION,COLONIA HERNANDARIAS,12000
ESC. BAS. Nº 4146 6 DE ENERO,1,3,26,1,HORQUETA,CONCEPCION,COLONIA 6 DE ENERO TACUARA,3600
ESC. BAS. Nº 1727 Y LIC.NAC. JHUGUA POI,1,3,27,1,HORQUETA,CONCEPCION,COLONIA HERNANDARIAS,22278
ESC. BAS. Nº 1715,1,3,28,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,10540
ESC. BAS. Nº 6693,1,3,29,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,10000
COLEGIO NACIONAL EMILIANO R. FERNANDEZ,1,3,30,1,HORQUETA,CONCEPCION,COLONIA VY A PAVE,19919
ESC. BAS. Nº 12031,1,3,31,1,HORQUETA,CONCEPCION,CUERO FRESCO,4438
ESC. BAS. Nº 1704 PABLO EMILIANO QUEVEDO CORDERO Y COLEGIO NACIONAL,1,3,32,1,HORQUETA,CONCEPCION,DEPOSITO,4000
ESC. BAS. Nº 1709 DON CARLOS A. LOPEZ,1,3,33,1,HORQUETA,CONCEPCION,COLONIA EX COMBATIENTES,8040
ESC. BAS. Nº 1706,1,3,34,1,HORQUETA,CONCEPCION,COLONIA HERNANDARIAS,10472
LICEO NACIONAL MAYOR J. OTAÑO,1,3,35,1,HORQUETA,CONCEPCION,COLONIA EX COMBATIENTES,9800
ESC. BAS. Nº 4344  GRAL. B. CABALLERO,1,3,36,1,HORQUETA,CONCEPCION,COLONIA DR. JUAN MANUEL FRUTOS,10000
ESC. BAS. Nº 4339  SANTO DOMINGO,1,3,37,1,HORQUETA,CONCEPCION,COLONIA CAPITAN SOSA,9174
ESC. BAS. Nº 1716,1,3,38,1,HORQUETA,CONCEPCION,COLONIA DR. JUAN  M. FRUTOS,10000
ESC. BAS. DE LA CIA. GRAL. CABALLERO,1,3,39,1,HORQUETA,CONCEPCION,COLONIA DR. JUAN M. FRUTOS,3780
ESC. BAS. Nº 4137,1,3,40,1,HORQUETA,CONCEPCION,COLONIA CERRO MEMBY,20000
ESC. BAS. Nº 4335,1,3,41,1,HORQUETA,CONCEPCION,COLONIA CNEL. EDUARDO SANCHEZ,9800
ESC. BAS. Nº 2459 EDELMIRA TORRES BLANCO,1,3,42,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,10000
ESC. BAS. Nº 4334 DON CARLOS A. LOPEZ,1,3,43,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,10000
ESC. BAS. Nº 11752,1,3,44,1,HORQUETA,CONCEPCION,AZOTEY,10000
ESC. BAS. Nº 1703 SAN IGNACIO DE LOYOLA Y LICEO NACIONAL SAN IGNACIO,1,3,45,1,HORQUETA,CONCEPCION,COLONIA EX COMBATIENTE,19950
ESC. BAS. Nº 1719 GRAL.CABALLERO Y LIC.SAN JUAN,1,3,46,1,HORQUETA,CONCEPCION,COLONIA EX COMBATIENTE,20000
ESC. BAS. Nº 4952 SAN ROQUE GONZALEZ DE SANTACRUZ,1,3,47,1,HORQUETA,CONCEPCION,BARRIO SAN ROQUE,7396
ESC. BAS. Nº 4357 HERMANO JOSE LUIS ARBUES RUBIOL,1,3,48,1,HORQUETA,CONCEPCION,COLONIA DR. JUAN MANUEL FRUTOS,10000
ESC. BAS. Nº 2123 TTE. SALVADOR PAREDES,1,3,49,1,HORQUETA,CONCEPCION,VILLALBA CUE,10000
ESC. BAS. Nº 1711,1,3,50,1,HORQUETA,CONCEPCION,ESPAJIN,6871
ESC. BAS. Nº 1711,1,3,50,2,HORQUETA,CONCEPCION,ESPAJIN,10000
ESC. BAS. Nº 2073 SAN MIGUEL,1,3,51,1,HORQUETA,CONCEPCION,COL.JOSE BERGES,10000
ESC. BAS. Nº 1712 FULGENCIO YEGROS,1,3,52,1,HORQUETA,CONCEPCION,COL.JUAN M. FRUTOS,20000
ESC. BAS. Nº 1712 FULGENCIO YEGROS,1,3,52,2,HORQUETA,CONCEPCION,COL.JUAN M. FRUTOS,20000
ESC. BAS. Nº 593,1,3,53,1,HORQUETA,CONCEPCION,COL.CPTAN.SOSA,21357
ESC. BAS. Nº 4358,1,3,54,1,HORQUETA,CONCEPCION,COL.E.R.PEREIRA-PEGUAJHO BARRETO,9228
ESC. BAS. Nº 3834 REPUBLICA DEL PARAGUAY,1,3,55,1,HORQUETA,CONCEPCION,COL.CAPITAN SOSA,10797
LIC.NAC.CAP.GUMERCINDO SOSA,1,3,56,1,HORQUETA,CONCEPCION,COLONIA,0
LIC.NAC.EMILIANO R. FERNANDEZ,1,3,57,1,HORQUETA,CONCEPCION,COLONIA,0
ESC. BAS. Nº 6307 EZEQUIEL ESCOBAR,1,3,58,1,HORQUETA,CONCEPCION,COLONIA EXCOMBATIENTE,2500
ESC. BAS. Nº 1707,1,3,59,1,HORQUETA,CONCEPCION,,0
ESC. BAS. Nº 4943,1,3,60,1,HORQUETA,CONCEPCION,LUGAR DENOMINADO TACUARA.,8004
ESC. BAS Nº 2578 GRAL. BERNARDINO CABALLERO,1,3,61,1,HORQUETA,CONCEPCION,COLONIA JUAN MANUEL FRUTOS.,10000
ESC. BAS. Nº 4351 HEROES DEL CHACO,1,3,62,1,HORQUETA,CONCEPCION,,10000
ESC. BAS. Nº 4342 DR. GASPAR R. DE FRANCIA Y LIC.NAC.CAP. JIMENEZ,1,3,63,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,10000
ESC. BAS. Nº 2579 CAPITAN SOSA,1,3,64,1,HORQUETA,CONCEPCION,CÑIA. CAPITAN SOSA,10000
ESC. BAS. Nº 4145,1,3,65,1,HORQUETA,CONCEPCION,ZANJA MOROTI,7749
ESC. BAS. Nº 4225 CARLOS A.LOPEZ,1,3,66,1,HORQUETA,CONCEPCION,HORQUETA,10000
ESC. BAS. Nº 10103,1,3,67,1,HORQUETA,CONCEPCION,HERNANDARIAS,10000
ESC. BAS. Nº 2461 VIRGEN DE FATIMA,1,3,68,1,HORQUETA,CONCEPCION,COL.CHOFERES DEL CHACO,10000
ESC. BAS. Nº 4336,1,3,69,1,HORQUETA,CONCEPCION,JOSE BERGES,10000
ESC. BAS. Nº 3564 HEROES DEL CHACO,1,3,70,1,HORQUETA,CONCEPCION,JOSE BERGES,10000
ESC. BAS. Nº 4888 VIRGEN DEL CARMEN,1,3,71,1,HORQUETA,CONCEPCION,JUAN MANUEL FRUTOS,9920
ESC. BAS. Nº 2067,1,3,72,1,HORQUETA,CONCEPCION,HORQUETA,6325
ESC. BAS. Nº 1708 GRAL. JOSE E. DIAZ,1,3,73,1,HORQUETA,CONCEPCION,CUARTELERO,20000
ESC. BAS. Nº 4953 1 DE MAYO,1,3,74,1,HORQUETA,CONCEPCION,COLONIA JUAN MANUEL FRUTOS,10000
ESC. BAS. Nº 1718,1,3,75,1,HORQUETA,CONCEPCION,COLONIA JUAN MANUEL FRUTOS,10000
ESC. BAS. Nº 4937,1,3,76,1,HORQUETA,CONCEPCION,KM .100 BARRIO SAN BLAS,10000
ESC. BAS. Nº 2462 MCAL. JOSE FELIX ESTIGARRIBIA,1,3,77,1,HORQUETA,CONCEPCION,COLONIA CHOFERES DEL CHACO,10000
ESC. BAS. Nº 2070 SAN JUAN BOSCO,1,3,78,1,HORQUETA,CONCEPCION,COLONIA JOSE BERGES,6415
